degree_type,technical_skills,soft_skills,cgpa,projects,internships,communication_level,technical_skill_level,years_of_experience,specialization,package
PhD,6,7,9.93,2,5,3,1,3,AI/ML,17.24
MCA,15,10,5.71,0,4,1,2,5,Data Science,10.66
PhD,6,3,6.48,7,4,3,3,5,Data Science,17.32
B.Tech,18,10,5.85,1,4,3,5,4,None,15.96
BCA,1,10,7.38,10,2,5,3,3,Data Science,16.72
BCA,3,4,8.98,7,2,1,1,5,Web Development,14.92
M.Tech,17,6,6.7,0,0,3,3,5,Cloud Computing,12.26
B.Sc,16,8,9.53,5,5,5,1,1,Cybersecurity,18.71
B.Tech,8,4,7.72,3,1,5,5,4,Cybersecurity,14.31
M.Tech,17,9,7.33,2,2,3,1,1,Web Development,14.97
PhD,8,8,8.94,0,1,3,5,5,None,13.23
MCA,17,10,5.51,9,1,2,5,2,Cybersecurity,13.51
B.Sc,9,10,8.87,10,2,1,3,4,Data Science,17.87
B.Tech,12,6,6.21,0,0,5,4,0,Data Science,11.7
BCA,19,7,6.4,10,5,1,4,2,AI/ML,18.55
PhD,4,8,8.0,6,1,5,4,2,Web Development,18.49
B.Tech,11,2,9.51,5,0,4,2,1,AI/ML,14.31
BCA,4,5,7.89,2,0,4,3,3,Data Science,16.17
B.Sc,14,7,8.24,1,5,5,1,5,Cloud Computing,16.38
BCA,14,8,8.88,9,2,2,4,1,Web Development,15.62
MCA,6,5,6.3,2,5,4,3,2,None,14.34
PhD,17,3,9.14,7,1,1,2,4,App Development,16.48
M.Sc,2,6,7.09,10,0,3,3,0,AI/ML,15.69
BCA,8,5,5.88,6,1,1,1,2,AI/ML,12.4
MCA,4,8,6.75,6,0,1,4,3,Data Science,12.44
M.Sc,10,9,6.23,4,2,1,1,5,AI/ML,13.87
PhD,7,9,6.14,9,0,5,2,3,None,12.35
B.Sc,4,6,6.41,2,2,5,1,5,Data Science,12.8
B.Sc,16,4,5.9,0,2,1,2,5,Cloud Computing,13.37
PhD,14,4,8.34,0,1,3,1,4,AI/ML,13.6
PhD,16,9,7.9,5,1,2,2,3,Data Science,12.57
B.Tech,9,4,8.24,3,5,2,3,4,Data Science,17.28
MCA,4,8,6.72,6,1,4,3,3,Cloud Computing,13.42
MCA,6,9,8.85,9,3,4,3,1,AI/ML,18.81
PhD,1,5,5.65,9,1,3,3,5,App Development,14.18
M.Tech,7,6,7.86,9,1,1,1,0,None,13.69
M.Tech,1,3,6.38,0,5,5,5,5,App Development,16.83
M.Sc,19,5,7.64,5,0,4,2,0,Cloud Computing,12.32
M.Sc,8,5,6.62,6,5,1,2,2,Cloud Computing,16.02
M.Tech,3,2,8.95,0,3,2,5,2,Cloud Computing,17.81
PhD,1,10,9.46,1,3,3,2,1,App Development,17.53
PhD,1,6,8.71,8,0,5,2,5,AI/ML,16.57
M.Sc,7,9,5.88,8,1,5,3,1,Cybersecurity,17.17
BCA,13,7,6.37,5,5,4,2,0,App Development,16.31
PhD,1,8,9.6,10,4,1,2,2,Data Science,16.13
M.Tech,16,2,7.19,3,2,5,4,2,Data Science,16.31
MCA,14,9,9.71,6,3,2,2,5,Cloud Computing,18.47
PhD,4,3,6.96,4,0,2,5,0,Cloud Computing,13.37
PhD,12,10,9.76,2,4,3,2,4,Cybersecurity,15.28
BCA,12,5,9.63,3,2,3,5,1,Web Development,19.11
M.Sc,17,7,8.3,1,4,2,2,2,None,15.41
PhD,15,4,5.04,5,1,2,5,0,Data Science,11.37
B.Sc,10,7,7.0,2,0,1,2,1,None,11.51
B.Tech,3,8,9.56,6,2,5,2,5,Web Development,15.41
M.Tech,20,10,9.43,3,2,1,4,0,Cloud Computing,14.59
B.Sc,20,10,5.94,7,1,3,4,5,Data Science,12.4
M.Sc,12,4,7.0,10,1,3,2,4,Data Science,13.55
MCA,1,5,9.18,0,1,3,4,5,Cloud Computing,15.03
B.Tech,1,3,7.89,8,0,5,1,3,Web Development,12.63
B.Sc,10,5,9.24,2,3,4,1,2,Web Development,17.49
B.Tech,18,8,9.13,2,4,3,3,5,AI/ML,17.86
M.Tech,15,3,9.54,4,0,3,3,5,AI/ML,14.53
M.Sc,2,5,5.59,9,0,1,1,1,Cybersecurity,10.51
PhD,17,10,5.73,0,4,1,3,0,None,14.91
MCA,8,1,5.41,2,2,4,2,0,Cybersecurity,13.46
M.Sc,9,2,9.68,3,4,4,2,1,Web Development,16.52
B.Tech,20,3,7.38,1,1,4,3,2,Cloud Computing,12.52
B.Sc,11,1,5.32,5,2,4,1,5,Web Development,11.81
M.Tech,6,9,6.61,9,0,1,5,2,Data Science,16.05
M.Tech,14,9,6.76,3,4,3,2,5,AI/ML,14.96
M.Sc,1,5,9.05,0,0,1,4,0,AI/ML,16.25
PhD,7,4,8.68,2,5,2,5,2,None,18.47
B.Sc,9,5,8.45,6,0,2,4,5,App Development,13.5
PhD,11,4,5.11,2,4,3,2,3,None,15.16
PhD,16,5,9.55,5,5,4,3,4,None,19.56
B.Sc,19,7,6.08,10,5,3,4,4,Web Development,18.64
B.Tech,2,8,8.15,5,5,2,1,3,Data Science,15.34
M.Sc,15,2,5.31,0,0,3,4,2,Web Development,10.81
M.Sc,3,4,5.41,1,3,4,1,5,App Development,11.06
BCA,4,8,5.05,9,3,1,5,0,None,11.89
M.Sc,20,7,7.83,10,0,4,5,2,None,17.0
M.Tech,7,9,8.15,10,2,1,3,1,Web Development,18.12
B.Tech,12,5,5.25,5,2,2,1,1,Web Development,14.01
B.Sc,4,6,6.45,1,2,5,3,2,Data Science,15.57
M.Sc,10,8,9.26,1,2,3,4,3,AI/ML,15.33
B.Tech,6,5,5.51,3,3,5,3,1,Cloud Computing,15.31
M.Sc,14,9,6.08,7,2,4,4,5,App Development,16.2
B.Sc,3,4,7.12,5,4,1,5,4,Cybersecurity,14.86
MCA,17,8,9.21,7,2,4,3,0,None,17.02
B.Sc,11,3,6.27,3,4,4,5,3,Data Science,14.29
B.Sc,10,5,9.99,10,3,2,4,1,AI/ML,17.16
B.Sc,10,8,6.78,2,4,4,1,0,Web Development,15.02
M.Sc,10,10,6.93,6,5,3,2,5,Cloud Computing,16.26
BCA,3,7,5.61,6,4,2,4,4,Cybersecurity,16.29
B.Sc,15,1,8.4,1,0,5,4,1,App Development,15.25
M.Tech,17,4,6.22,0,4,4,2,1,Cybersecurity,11.98
M.Tech,18,2,8.14,10,5,5,2,0,Data Science,20.57
B.Tech,19,2,6.12,7,0,3,5,0,Web Development,15.79
BCA,19,7,6.94,2,5,3,4,2,None,16.97
B.Tech,12,3,9.28,5,2,3,4,1,Web Development,18.09
M.Tech,5,3,8.69,6,4,5,3,4,Cloud Computing,16.18
PhD,16,6,5.77,7,4,5,2,0,Cybersecurity,17.83
M.Tech,15,6,8.04,5,1,1,1,3,Data Science,15.94
MCA,15,1,8.14,6,2,2,4,1,Web Development,13.68
B.Sc,6,1,5.45,4,4,4,3,3,Cybersecurity,13.26
PhD,12,6,7.33,2,4,2,1,1,Cybersecurity,16.75
M.Tech,2,7,6.3,1,1,3,5,0,AI/ML,12.85
M.Sc,20,9,7.34,6,0,4,3,2,Cloud Computing,16.1
M.Sc,9,4,8.89,7,2,1,1,1,Web Development,12.8
B.Tech,4,10,5.79,7,1,2,4,5,AI/ML,15.24
PhD,5,6,5.62,2,2,3,3,0,Cloud Computing,14.38
B.Tech,8,3,6.35,1,2,4,2,0,AI/ML,15.7
B.Sc,10,4,9.76,8,0,4,1,0,Web Development,16.7
B.Sc,7,9,8.74,5,0,3,4,3,Data Science,12.95
MCA,14,1,5.1,9,3,5,3,0,AI/ML,15.31
BCA,5,5,7.01,2,1,2,1,3,AI/ML,11.85
B.Tech,16,7,6.29,4,5,4,5,4,Cybersecurity,17.13
B.Sc,15,3,8.19,0,1,5,5,5,App Development,15.06
B.Tech,5,2,7.3,1,2,1,2,5,Web Development,12.08
B.Sc,3,2,9.82,8,3,4,3,5,AI/ML,18.7
M.Tech,10,1,6.09,9,3,4,3,2,App Development,14.91
B.Tech,5,5,7.94,10,2,1,2,5,Data Science,17.12
M.Tech,15,3,8.5,9,0,1,3,0,AI/ML,14.01
B.Tech,18,7,9.13,2,3,4,5,4,Cloud Computing,17.15
BCA,8,1,7.03,7,1,3,5,0,Data Science,17.15
MCA,2,9,8.43,9,0,1,2,4,Data Science,16.07
M.Sc,8,2,6.52,7,4,5,4,5,AI/ML,17.34
M.Sc,8,8,7.18,4,3,1,2,0,AI/ML,13.61
M.Sc,4,10,9.48,7,2,4,5,2,Cybersecurity,18.08
M.Tech,19,4,9.75,1,1,4,2,0,Web Development,16.8
PhD,18,6,8.59,1,3,2,5,3,Cybersecurity,14.55
B.Sc,1,9,6.87,3,2,5,4,0,Cloud Computing,13.43
M.Sc,20,7,9.1,7,1,2,5,1,Web Development,16.87
BCA,15,8,5.13,1,3,1,3,3,Cybersecurity,13.15
M.Sc,18,7,5.51,3,1,2,1,4,Cybersecurity,10.87
B.Tech,12,2,8.31,7,4,4,4,5,AI/ML,17.36
M.Tech,1,9,6.46,2,1,3,1,5,Cybersecurity,10.52
PhD,7,1,9.76,7,2,1,4,0,AI/ML,14.81
B.Tech,19,2,7.18,1,3,4,4,5,Data Science,16.95
PhD,1,3,7.15,0,2,1,4,5,Web Development,13.51
B.Tech,7,3,8.39,5,4,2,4,5,AI/ML,14.73
B.Tech,2,10,8.84,7,5,2,5,0,App Development,20.61
MCA,7,4,7.38,8,0,1,3,0,App Development,12.58
MCA,19,5,6.07,9,1,1,5,1,App Development,13.83
B.Sc,13,6,8.87,7,2,2,5,2,App Development,19.18
M.Tech,5,1,6.6,1,5,1,3,2,Cybersecurity,13.06
BCA,19,8,5.88,0,3,2,4,3,App Development,16.07
BCA,1,6,8.16,6,3,1,3,3,AI/ML,16.71
BCA,1,10,5.45,6,0,3,1,1,Data Science,11.9
B.Tech,18,9,9.86,2,3,1,3,5,Cloud Computing,16.29
MCA,1,5,8.16,5,4,1,5,1,Cloud Computing,16.74
M.Tech,5,7,9.93,6,0,4,4,1,Data Science,17.98
B.Tech,9,4,6.69,8,4,3,5,4,Cybersecurity,14.83
PhD,12,6,9.86,0,1,2,1,5,Web Development,15.48
MCA,9,6,5.73,2,4,2,4,5,Web Development,16.89
MCA,18,4,5.2,4,1,5,2,1,AI/ML,12.87
M.Sc,11,6,5.16,2,4,3,5,1,None,12.35
M.Sc,1,8,7.32,7,0,3,5,1,Cloud Computing,13.24
M.Tech,19,5,5.42,9,1,1,3,1,Data Science,12.79
PhD,10,2,7.56,5,5,4,4,5,None,14.49
M.Tech,2,9,6.64,1,4,2,5,2,Cybersecurity,13.93
M.Tech,7,4,6.68,0,4,2,1,0,Data Science,14.28
B.Tech,20,4,8.18,9,3,4,4,0,Cloud Computing,17.09
B.Sc,2,7,5.82,4,4,4,4,2,Data Science,17.6
M.Tech,19,10,8.83,10,3,3,3,1,Data Science,17.22
M.Sc,6,10,7.91,8,4,4,5,5,Data Science,16.32
B.Sc,10,6,9.57,9,2,4,5,4,AI/ML,16.44
B.Tech,9,4,6.82,8,3,1,2,4,Cybersecurity,15.76
B.Sc,8,6,9.91,0,0,3,2,3,Web Development,14.82
BCA,11,3,7.88,2,0,5,4,0,None,14.77
PhD,9,7,9.87,5,1,5,5,3,None,15.62
B.Sc,20,6,5.14,4,5,2,3,1,Cybersecurity,16.76
M.Tech,20,3,8.64,3,5,4,5,3,Cloud Computing,16.05
B.Tech,9,1,9.08,1,0,1,3,1,None,10.31
PhD,8,10,5.27,3,1,4,2,3,Web Development,13.97
M.Tech,15,5,7.89,4,0,2,1,2,App Development,13.92
PhD,2,10,9.01,1,3,4,5,5,AI/ML,16.77
M.Sc,1,2,7.81,9,2,5,2,1,Web Development,14.0
BCA,9,7,5.32,0,1,3,1,4,Web Development,9.56
M.Sc,9,7,8.47,6,2,4,1,1,Web Development,13.86
M.Tech,13,4,5.3,6,4,5,2,4,Data Science,15.87
M.Tech,8,6,9.09,7,4,5,2,5,Cloud Computing,18.47
M.Tech,5,1,5.22,9,2,2,2,4,App Development,14.72
MCA,3,2,5.69,5,3,3,3,3,AI/ML,16.03
BCA,4,6,6.38,0,2,2,4,0,App Development,11.15
PhD,17,2,8.17,7,2,1,4,0,Cloud Computing,16.42
M.Tech,16,4,9.88,1,2,3,4,0,Data Science,14.89
M.Tech,16,4,5.59,2,1,1,3,4,AI/ML,12.61
PhD,20,10,5.71,7,1,3,2,0,None,13.72
M.Sc,3,9,6.84,3,2,5,4,1,App Development,16.4
M.Sc,6,10,9.18,4,5,1,3,1,Data Science,15.75
M.Tech,1,7,7.34,8,3,3,3,5,AI/ML,15.38
B.Tech,16,7,6.61,10,4,3,2,1,AI/ML,18.25
MCA,15,1,7.81,6,4,1,1,5,Cybersecurity,16.83
M.Sc,7,5,6.3,9,4,3,3,4,Data Science,14.97
B.Tech,2,3,7.01,6,0,2,5,4,Cloud Computing,14.94
MCA,10,3,6.66,0,3,2,3,0,None,10.83
M.Tech,15,6,9.02,0,1,1,1,5,None,12.88
BCA,6,4,9.62,7,4,5,1,3,App Development,18.18
B.Sc,2,8,8.8,9,1,4,5,4,Data Science,16.1
B.Sc,17,4,7.2,0,1,1,4,2,App Development,12.83
M.Tech,1,8,7.52,9,1,1,3,1,Data Science,16.22
M.Sc,1,4,5.63,1,5,1,2,1,Data Science,12.46
B.Tech,4,3,8.73,3,1,1,2,0,Cybersecurity,15.28
BCA,20,5,7.98,8,2,2,5,3,Cybersecurity,15.57
PhD,16,5,9.51,6,1,1,1,1,Cybersecurity,16.3
MCA,8,10,6.0,6,0,5,4,4,Cybersecurity,12.05
M.Tech,1,10,8.8,9,1,4,3,3,Data Science,15.27
BCA,19,1,8.42,6,4,4,3,1,None,14.54
BCA,11,8,6.33,4,1,5,3,0,Cloud Computing,16.25
M.Sc,17,8,8.34,0,4,1,2,0,Web Development,14.25
MCA,10,8,9.62,4,1,4,4,0,Data Science,16.6
BCA,12,10,9.59,7,3,2,5,4,App Development,16.46
M.Sc,9,4,8.6,6,2,4,2,0,Cloud Computing,14.0
B.Tech,7,9,5.24,6,4,5,1,2,Web Development,15.24
M.Sc,12,10,9.36,1,0,4,4,4,Web Development,14.03
B.Tech,15,3,8.29,0,1,5,1,2,Cybersecurity,16.02
B.Tech,8,7,6.55,3,4,1,3,0,Web Development,14.41
PhD,17,6,5.94,7,5,4,2,3,App Development,14.15
PhD,5,9,5.58,0,2,5,4,4,App Development,11.57
BCA,14,4,5.25,1,5,2,2,2,Cloud Computing,12.41
M.Sc,2,4,8.77,6,1,2,4,4,Cybersecurity,14.76
PhD,16,6,6.18,4,2,3,3,2,Data Science,12.64
B.Tech,17,8,5.12,5,0,4,4,5,Data Science,12.7
PhD,3,3,6.99,7,4,1,3,4,Cybersecurity,17.49
MCA,1,8,7.41,8,0,3,2,1,None,10.99
BCA,18,8,5.85,7,2,4,2,2,Cybersecurity,15.92
M.Sc,18,7,5.22,0,3,2,2,2,Web Development,12.16
M.Sc,4,7,5.95,10,3,1,3,4,None,16.1
B.Sc,15,5,8.4,3,5,2,1,3,Web Development,16.48
M.Sc,19,2,5.41,4,4,4,1,1,Cloud Computing,12.47
BCA,19,2,7.78,8,1,1,4,2,Cybersecurity,17.47
MCA,10,10,5.73,5,5,1,2,0,Data Science,12.81
M.Sc,5,8,5.98,5,0,3,1,0,Cloud Computing,11.57
B.Sc,19,6,6.97,2,3,1,5,5,Data Science,17.28
BCA,11,8,5.5,1,3,4,2,4,None,11.06
B.Tech,7,3,5.87,1,1,5,5,3,Data Science,14.88
M.Tech,5,1,6.74,6,0,5,1,1,Cloud Computing,16.03
M.Tech,20,6,6.65,4,2,1,3,2,Data Science,14.73
B.Tech,12,2,8.75,9,5,5,5,0,Cybersecurity,20.36
PhD,19,9,5.37,0,3,4,5,2,None,14.03
M.Sc,15,5,9.3,4,4,3,2,0,App Development,16.86
M.Tech,12,5,9.08,10,4,2,4,4,Cybersecurity,20.39
PhD,4,10,8.83,0,2,2,3,4,Cloud Computing,14.82
M.Tech,12,8,6.55,8,1,4,2,2,Data Science,15.35
B.Tech,18,6,9.11,7,1,3,2,4,Data Science,16.76
M.Sc,17,3,5.91,3,5,4,1,1,Web Development,14.88
M.Sc,19,9,5.62,10,3,1,4,5,AI/ML,17.21
PhD,16,10,5.22,0,5,3,4,4,Cloud Computing,12.25
B.Tech,11,4,9.7,10,3,5,3,1,App Development,18.0
PhD,2,10,6.54,7,3,1,3,4,Data Science,15.41
M.Sc,16,4,9.59,4,2,5,4,2,Cloud Computing,14.75
M.Sc,1,2,6.36,0,2,1,5,1,Web Development,15.8
BCA,17,3,9.54,1,3,1,5,5,Cloud Computing,17.86
PhD,18,4,9.52,4,1,1,2,5,Cybersecurity,13.21
BCA,13,7,9.62,8,0,1,4,5,Data Science,14.93
B.Tech,5,3,7.48,9,3,3,2,3,Web Development,16.87
MCA,6,8,9.33,7,1,3,5,5,Cybersecurity,16.1
M.Tech,1,8,9.75,10,1,1,3,2,AI/ML,18.13
BCA,10,10,6.62,9,4,4,4,1,AI/ML,15.81
M.Tech,5,2,7.09,7,5,1,1,0,Cloud Computing,16.95
B.Sc,1,4,8.6,8,0,1,2,5,Data Science,14.18
B.Tech,11,8,6.5,1,3,4,4,0,AI/ML,14.67
MCA,7,1,8.77,6,0,4,1,3,Web Development,12.9
B.Sc,18,1,5.37,9,3,1,2,0,Data Science,16.54
B.Sc,20,4,7.62,4,5,2,5,2,App Development,16.2
M.Sc,10,2,5.61,2,0,2,2,5,Web Development,10.19
B.Sc,15,1,6.47,9,0,4,3,1,Web Development,12.24
B.Tech,4,8,6.29,7,1,1,2,5,Web Development,13.24
BCA,16,2,9.19,1,0,5,2,2,None,11.18
B.Tech,15,4,5.97,3,0,5,4,4,App Development,13.56
BCA,15,3,9.04,4,5,1,4,4,AI/ML,19.14
B.Sc,12,2,8.97,4,3,1,5,0,Cloud Computing,16.47
B.Sc,8,8,7.49,3,1,1,3,3,AI/ML,11.31
MCA,8,3,6.17,2,0,5,3,3,AI/ML,12.12
BCA,18,9,6.13,2,1,5,5,5,None,11.32
B.Sc,6,10,7.32,4,1,4,1,4,Cloud Computing,15.7
M.Sc,5,5,5.04,9,2,3,2,3,Cybersecurity,12.72
M.Tech,2,9,7.66,5,3,4,4,3,Web Development,14.22
MCA,12,3,9.76,0,2,4,5,0,App Development,18.88
B.Tech,4,5,5.77,10,1,2,5,5,Cybersecurity,15.0
MCA,13,10,7.87,3,5,4,4,2,Web Development,16.65
M.Tech,17,6,9.81,9,5,4,4,2,Cybersecurity,21.62
BCA,16,9,9.3,9,0,4,1,1,Web Development,15.63
B.Tech,9,8,9.25,5,3,4,3,2,Cloud Computing,15.86
B.Tech,1,2,9.11,1,4,3,4,2,None,17.13
BCA,15,2,6.55,9,3,2,5,0,Cloud Computing,15.19
PhD,12,5,9.45,4,2,5,2,5,App Development,15.98
PhD,5,5,9.71,10,3,1,1,0,Cloud Computing,18.04
MCA,18,5,7.48,8,0,5,2,5,Data Science,17.05
B.Sc,20,4,6.77,2,3,2,2,2,App Development,14.39
PhD,2,8,7.07,2,4,4,3,1,App Development,15.57
MCA,4,5,6.67,8,5,5,2,2,Web Development,14.78
PhD,15,1,6.06,2,2,4,5,5,None,14.32
M.Tech,6,10,8.09,3,2,3,5,2,Cloud Computing,14.99
M.Sc,12,5,7.81,8,1,3,4,4,Cybersecurity,15.86
B.Sc,18,1,7.31,3,2,2,3,5,Data Science,15.51
MCA,20,4,5.48,4,4,5,4,1,App Development,16.39
M.Sc,4,1,8.98,1,4,3,2,5,Data Science,13.77
M.Sc,1,6,5.87,7,5,2,5,2,App Development,16.01
PhD,15,6,5.57,8,2,2,4,0,Cloud Computing,13.14
BCA,18,1,8.12,9,5,2,5,5,AI/ML,16.53
M.Tech,14,8,6.99,3,3,5,4,2,Cloud Computing,14.5
M.Tech,3,4,5.3,2,4,5,1,3,App Development,16.08
M.Tech,15,2,6.78,3,2,2,3,4,None,14.03
B.Sc,5,1,8.86,6,2,1,4,4,None,16.96
B.Tech,3,3,8.08,0,3,5,2,4,AI/ML,15.18
B.Sc,7,7,6.81,10,5,5,5,1,Cloud Computing,16.09
MCA,6,10,5.96,10,2,1,5,5,Web Development,13.05
M.Sc,1,10,8.16,1,0,5,3,4,Cybersecurity,12.52
M.Sc,19,8,9.44,9,1,5,3,2,App Development,18.57
B.Tech,7,5,8.23,4,4,3,1,1,App Development,14.05
MCA,4,7,9.06,8,3,1,4,3,None,13.94
B.Tech,12,2,7.61,5,3,3,1,0,AI/ML,16.67
M.Sc,20,4,8.59,2,1,1,4,4,AI/ML,13.1
PhD,18,6,9.48,2,0,1,4,2,None,13.5
B.Sc,9,5,8.87,6,1,1,3,1,Data Science,14.22
M.Tech,19,6,9.55,2,2,5,3,5,AI/ML,18.31
M.Sc,4,2,7.16,9,5,2,4,5,Web Development,18.32
BCA,1,7,9.52,2,3,4,3,2,Cybersecurity,16.28
M.Tech,9,8,8.11,9,5,2,4,5,AI/ML,19.68
M.Sc,15,9,9.35,6,5,5,3,4,Data Science,19.64
B.Sc,8,6,5.2,8,5,5,2,0,App Development,17.56
B.Tech,15,7,8.29,8,5,4,4,1,Cybersecurity,20.76
PhD,15,1,9.24,2,2,5,5,2,AI/ML,15.46
PhD,18,9,5.87,7,3,1,2,1,Web Development,12.53
M.Tech,7,6,8.31,0,5,3,1,4,Web Development,15.57
B.Sc,18,4,9.12,7,3,3,3,5,Cybersecurity,17.14
PhD,16,10,6.44,10,5,1,1,4,Data Science,17.41
PhD,2,9,7.03,1,2,2,5,3,Web Development,12.8
MCA,4,1,7.85,3,1,3,3,3,Cloud Computing,14.04
BCA,20,2,7.6,6,5,1,1,4,Cloud Computing,15.6
M.Tech,16,3,5.2,5,4,2,2,1,AI/ML,13.84
B.Tech,3,1,5.49,8,4,3,1,2,Web Development,12.53
PhD,2,2,5.5,7,1,1,3,2,Cloud Computing,11.44
MCA,3,2,6.31,1,0,3,2,1,AI/ML,10.45
B.Sc,5,7,6.23,3,1,3,5,0,AI/ML,14.72
PhD,2,10,8.71,0,1,3,1,1,AI/ML,13.17
BCA,19,6,7.86,6,1,4,4,4,Data Science,14.11
B.Tech,20,9,8.82,3,4,2,3,4,AI/ML,17.38
B.Sc,2,5,5.35,7,3,3,4,3,Data Science,16.62
B.Sc,2,9,7.43,1,0,1,4,2,Cloud Computing,11.61
M.Tech,20,10,6.62,7,0,4,1,3,AI/ML,14.59
PhD,18,9,9.25,1,0,5,4,2,Cloud Computing,13.17
M.Tech,20,2,8.54,10,2,5,2,1,Web Development,18.7
B.Tech,14,9,9.35,7,5,2,5,0,Data Science,20.92
PhD,15,3,5.23,0,1,1,5,5,None,9.72
M.Sc,12,3,8.6,1,3,4,4,2,None,16.59
PhD,11,9,7.7,4,3,1,3,0,Cloud Computing,12.91
M.Sc,11,7,9.13,0,2,4,4,0,AI/ML,18.08
B.Sc,7,8,7.54,4,4,4,3,0,Cloud Computing,15.98
M.Tech,12,7,7.7,4,2,5,5,1,AI/ML,16.6
BCA,16,9,5.26,6,2,2,2,0,Cybersecurity,14.58
PhD,5,8,8.34,1,1,2,3,0,App Development,12.75
BCA,2,4,6.37,1,4,1,5,4,Data Science,14.32
PhD,16,2,5.1,5,5,4,1,4,Web Development,12.51
B.Sc,15,5,5.33,10,5,4,4,2,Cloud Computing,17.57
M.Tech,11,2,9.79,9,2,3,3,4,None,17.77
B.Tech,6,4,6.73,2,5,2,2,2,App Development,16.6
B.Tech,13,2,9.34,7,3,4,4,0,Cloud Computing,17.99
B.Tech,19,5,9.8,2,1,1,5,4,Cybersecurity,16.91
PhD,10,6,9.72,9,5,5,5,3,AI/ML,18.38
PhD,19,1,9.41,3,4,5,5,5,Web Development,19.46
BCA,5,8,9.47,6,3,2,3,5,AI/ML,14.2
M.Tech,7,2,6.45,0,0,2,1,1,AI/ML,9.84
PhD,11,5,5.76,0,1,3,1,4,Cloud Computing,12.43
M.Tech,14,8,8.2,8,3,2,5,1,Cloud Computing,16.22
BCA,16,5,7.44,5,2,4,4,5,Cloud Computing,15.32
PhD,18,3,5.49,4,2,4,2,4,App Development,15.22
B.Tech,4,6,8.39,1,1,4,4,5,Data Science,15.39
B.Tech,1,1,7.81,1,4,4,3,4,Data Science,15.28
B.Sc,15,1,9.32,6,2,3,1,3,Cloud Computing,15.42
M.Sc,14,8,8.05,5,3,2,2,0,AI/ML,16.97
MCA,19,7,7.87,7,0,2,5,2,Web Development,15.15
M.Sc,5,10,7.2,2,4,2,5,4,Web Development,17.7
PhD,4,10,7.31,2,1,3,3,4,AI/ML,12.62
M.Tech,13,3,9.77,4,2,3,3,1,App Development,16.43
PhD,18,8,5.69,9,4,4,3,0,None,14.46
M.Tech,12,8,7.23,3,0,3,3,4,Cybersecurity,13.99
M.Tech,15,1,8.28,7,4,3,5,4,AI/ML,18.15
M.Sc,9,10,7.17,5,4,1,5,2,Web Development,16.46
MCA,4,7,6.42,7,1,4,3,5,Cybersecurity,14.79
B.Sc,5,2,6.44,6,0,4,5,0,App Development,14.54
M.Sc,9,2,6.17,1,0,1,3,0,App Development,13.95
MCA,13,2,6.72,8,4,2,2,5,Cybersecurity,14.37
B.Tech,10,5,9.36,10,2,1,3,4,Web Development,16.29
B.Tech,16,7,7.53,5,4,1,3,0,Cybersecurity,14.07
M.Tech,13,4,6.2,10,3,1,2,0,App Development,13.98
BCA,4,4,6.92,10,2,3,1,2,Data Science,13.7
PhD,13,9,5.53,5,1,1,4,3,Cloud Computing,14.07
PhD,8,10,9.52,1,0,5,3,5,App Development,16.15
M.Tech,13,9,7.04,8,5,1,2,5,App Development,14.81
BCA,15,7,9.9,0,2,2,2,2,Cybersecurity,17.26
MCA,20,10,6.74,5,1,2,5,3,Cybersecurity,13.57
B.Tech,20,4,9.18,7,4,2,3,2,Data Science,18.85
PhD,13,8,6.28,1,1,1,2,5,Data Science,11.03
M.Sc,5,10,5.38,2,3,4,1,5,AI/ML,12.79
BCA,6,3,5.16,9,5,2,1,4,None,14.72
MCA,5,3,8.03,9,1,1,4,2,Web Development,15.81
B.Tech,13,7,6.56,6,5,2,5,0,AI/ML,16.77
M.Sc,5,9,7.22,10,5,3,5,0,App Development,19.7
BCA,13,4,9.09,0,2,3,5,1,Web Development,16.89
M.Tech,20,4,6.24,4,0,1,3,4,None,13.61
M.Tech,8,1,6.54,10,2,2,1,0,Data Science,13.08
M.Tech,9,1,9.23,5,2,2,3,4,Cloud Computing,13.42
PhD,19,3,7.46,9,0,5,2,2,Web Development,17.58
MCA,20,7,9.14,6,3,2,4,0,Web Development,15.8
M.Tech,15,9,6.87,9,2,4,4,4,Data Science,13.94
PhD,10,4,6.99,9,0,3,3,2,Cybersecurity,13.33
B.Sc,11,2,5.84,6,0,2,4,5,AI/ML,14.25
PhD,5,6,9.58,2,2,4,3,3,Cloud Computing,16.49
B.Tech,9,6,9.48,6,5,1,5,1,App Development,16.72
PhD,11,9,9.92,0,0,3,2,2,None,11.58
MCA,19,4,7.01,10,5,1,5,5,Web Development,17.23
M.Sc,2,8,9.09,3,4,2,4,3,Cybersecurity,14.32
PhD,6,3,7.07,6,2,1,2,4,Data Science,11.55
M.Tech,1,2,7.27,6,5,3,1,3,Web Development,16.45
B.Tech,3,9,9.15,3,3,1,3,0,Cybersecurity,14.72
BCA,3,6,5.89,0,4,1,2,5,App Development,10.75
M.Tech,14,8,6.1,7,3,1,3,5,AI/ML,14.36
B.Tech,20,10,6.57,3,5,4,2,4,Data Science,17.72
B.Sc,5,9,8.94,1,2,4,4,1,Cybersecurity,14.64
BCA,17,1,6.86,3,1,2,5,1,None,12.07
B.Sc,15,1,6.79,7,0,1,4,4,Cybersecurity,13.71
M.Sc,6,5,9.99,7,4,4,1,0,Web Development,15.74
